Latitude	Longitude	Hash	Lithology	Age	Age Uncert	Unparsed Lithology
37.87077	-119.37766	37.87077;-119.37766	plut, ign, 	105.5	40.0	intrusive igneous rocks | mesozoic intrusive rocks | 
51.33574	-125.26976	51.33574;-125.26976	sed, ign, met, 	NaN	NaN	orthogneiss/paragneiss | precambrian-phanerozoic crystalline metamorphic rocks | 
43.89452	-71.60311	43.89452;-71.60311	siliciclast, shale, carb, sed, 	401.35	42.0	mudstone-carbonate-sandstone-conglomerate | paleozoic sedimentary and volcanic rocks | 
-54.53373	-69.57207	-54.53373;-69.57207	met, 	418.84999999999997	120.0	low-medium grade unclassified metamorphic rock | paleozoic crystalline metamorphic rocks | 
-65.0	-70.0	-65;-70		NaN	NaN	na | na | na
64.83333	62.65	64.83333;62.65	sed, 	105.5	40.0	sedimentary rocks | mesozoic sedimentary rocks | 
-50.25	-74.2	-50.25;-74.2		NaN	NaN	na | na | na
-47.6358	-72.8425	-47.6358;-72.8425	met, 	418.84999999999997	120.0	low-medium grade unclassified metamorphic rock | paleozoic crystalline metamorphic rocks | 
-67.65	-62.7167	-67.65;-62.7167		NaN	NaN	na | na | na
-64.87	-63.065	-64.87;-63.065		NaN	NaN	na | na | na
-64.95	-62.6167	-64.95;-62.6167	sed, 	280.1	79.0	sedimentary rocks | paleozoic-mesozoic sedimentary rocks | 
-46.6071	-74.0377	-46.6071;-74.0377	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
64.84	-18.38	64.84;-18.38	basalt, volc, ign, 	34.29	32.0	mafic volcanic rocks | cenozoic volcanic rocks | 
65.0	-14.0	65;-14	basalt, volc, ign, 	34.29	32.0	mafic volcanic rocks | cenozoic volcanic rocks | 
64.5	-16.0	64.5;-16		NaN	NaN	 |  | 
57.0614	-3.60606	57.0614;-3.60606	plut, ign, 	395.351	143.0	intrusive igneous rocks | paleozoic intrusive rocks | 
45.37422	7.05711	45.37422;7.05711	basalt, volc, ign, 	305.40099999999995	53.0	ophiolite complex; mafic volcanic rocks; basalt | paleozoic volcanic and intrusive rocks | 
45.52829	6.78551	45.52829;6.78551	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
45.52697	6.78726	45.52697;6.78726	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
45.5487	6.4662	45.5487;6.4662	met, 	389.04999999999995	30.0	crystalline metamorphic rocks | paleozoic crystalline metamorphic rocks | 
45.45374	6.69739	45.45374;6.69739	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
45.45359	6.70162	45.45359;6.70162	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
45.5874	6.46035	45.5874;6.46035	met, 	389.04999999999995	30.0	crystalline metamorphic rocks | paleozoic crystalline metamorphic rocks | 
45.39033	6.25483	45.39033;6.25483	met, 	389.04999999999995	30.0	crystalline metamorphic rocks | paleozoic crystalline metamorphic rocks | 
45.49377	6.32131	45.49377;6.32131	met, 	389.04999999999995	30.0	crystalline metamorphic rocks | paleozoic crystalline metamorphic rocks | 
45.41417	6.14452	45.41417;6.14452	met, 	389.04999999999995	30.0	crystalline metamorphic rocks | paleozoic crystalline metamorphic rocks | 
45.38345	6.09737	45.38345;6.09737	met, 	389.04999999999995	30.0	crystalline metamorphic rocks | paleozoic crystalline metamorphic rocks | 
44.681	6.697	44.681;6.697	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
44.719	6.762	44.719;6.762	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
44.778	6.86	44.778;6.86	sed, basalt, volc, ign, met, 	133.65	68.0	blueschist grade metasedimentary/metavolcanic schist | mesozoic crystalline metamorphic rocks | 
28.69644	84.16647	28.69644;84.16647	met, 	721.9	278.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
46.6216	8.40399	46.6216;8.40399	met, 	1492.7	1007.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
60.26449	-139.10915	60.26449;-139.10915	sed, 	422.15	63.0	sedimentary rocks | paleozoic sedimentary rocks | 
60.4266	18.186	60.4266;18.186		NaN	NaN	na | na | na
63.74989	18.1544	63.74989;18.1544	sed, 	2050.0	450.0	sedimentary rocks | paleoproterozoic sedimentary rocks | 
28.58436	83.98884	28.58436;83.98884	met, 	721.9	278.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
-43.4607	170.1861	-43.4607;170.1861	siliciclast, shale, sed, 	2.58	NaN	unconsolidated sand, gravel and mud | cenozoic sedimentary rocks | 
78.9099	11.8083	78.9099;11.8083	siliciclast, shale, carb, sed, 	287.551	36.0	mudstone-carbonate-sandstone | paleozoic sedimentary rocks | 
78.2934	16.4094	78.2934;16.4094	siliciclast, shale, carb, sed, 	122.75	22.0	mudstone-carbonate-sandstone | mesozoic sedimentary rocks | 
80.50038	-59.51339	80.50038;-59.51339		NaN	NaN	 | phanerozoic ice | 
-73.0	68.0	-73;68		NaN	NaN	 | phanerozoic ice | 
-46.51339	-72.03758	-46.51339;-72.03758	volc, ign, 	133.65	68.0	volcanic rocks | mesozoic volcanic rocks | 
60.79847	-141.09795	60.79847;-141.09795	plut, ign, 	154.25	9.0	intrusive igneous rocks | mesozoic intrusive rocks | 
-62.2167	-58.6667	-62.2167;-58.6667	basalt, volc, ign, 	66.0	NaN	mafic volcanic rocks | cenozoic volcanic rocks | 
-65.0167	-62.9667	-65.0167;-62.9667	sed, 	280.1	79.0	sedimentary rocks | paleozoic-mesozoic sedimentary rocks | 
-65.3333	-63.9667	-65.3333;-63.9667	sed, 	280.1	79.0	sedimentary rocks | paleozoic-mesozoic sedimentary rocks | 
-65.6167	-63.7833	-65.6167;-63.7833		NaN	NaN	 | phanerozoic ice | 
-65.5667	-63.7667	-65.5667;-63.7667		NaN	NaN	 | phanerozoic ice | 
-65.5	-63.6667	-65.5;-63.6667	sed, 	280.1	79.0	sedimentary rocks | paleozoic-mesozoic sedimentary rocks | 
-64.9333	-62.5833	-64.9333;-62.5833	sed, 	280.1	79.0	sedimentary rocks | paleozoic-mesozoic sedimentary rocks | 
-64.6667	-61.6333	-64.6667;-61.6333	sed, 	280.1	79.0	sedimentary rocks | paleozoic-mesozoic sedimentary rocks | 
-64.3333	-60.9667	-64.3333;-60.9667	sed, 	280.1	79.0	sedimentary rocks | paleozoic-mesozoic sedimentary rocks | 
-64.16713	-60.79996	-64.16713;-60.79996	sed, 	280.1	79.0	sedimentary rocks | paleozoic-mesozoic sedimentary rocks | 
-46.7631	-73.8184	-46.7631;-73.8184		NaN	NaN	 | phanerozoic ice | 
-48.1348	-73.4278	-48.1348;-73.4278	met, 	418.84999999999997	120.0	low-medium grade unclassified metamorphic rock | paleozoic crystalline metamorphic rocks | 
-50.9961	-73.6558	-50.9961;-73.6558		NaN	NaN	 | phanerozoic ice | 
45.86605	6.8593	45.86605;6.8593	plut, ign, 	305.40099999999995	53.0	intrusive igneous rocks | paleozoic intrusive rocks | 
-76.98366	161.52648	-76.98366;161.52648	basalt, volc, ign, 	173.15	28.0	mafic volcanic rocks | mesozoic volcanic rocks | 
44.04642	7.00557	44.04642;7.00557	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
60.1755	-141.1577	60.1755;-141.1577	sed, 	44.515	21.0	sedimentary rocks | cenozoic sedimentary rocks | 
61.12586	6.52565	61.12586;6.52565		NaN	NaN	na | na | na
61.11503	6.49212	61.11503;6.49212		NaN	NaN	na | na | na
72.5	-38.45	72.5;-38.45		NaN	NaN	 | phanerozoic ice | 
57.1601	-3.82319	57.1601;-3.82319	sed, met, 	251.902	NaN	metasedimentary schist | precambrian-phanerozoic crystalline metamorphic rocks | 
66.66613	13.89531	66.66613;13.89531	sed, granite, ign, met, 	1519.4	981.0	granitoid gneiss; orthogneiss/paragneiss | proterozoic crystalline metamorphic rocks | 
61.02561	-145.67664	61.02561;-145.67664	sed, 	105.5	40.0	sedimentary rocks | mesozoic sedimentary rocks | 
0.3854	29.87004	0.3854;29.87004	met, 	3200.0	400.0	crystalline metamorphic rocks | archean crystalline metamorphic rocks | 
-74.7039	-110.5393	-74.7039;-110.5393		NaN	NaN	 | phanerozoic ice | 
-75.0	-111.0	-75;-111		NaN	NaN	 | phanerozoic ice | 
45.3707	22.9043	45.3707;22.9043	met, 	2050.0	450.0	crystalline metamorphic rocks | paleoproterozoic crystalline metamorphic rocks | 
44.16757	-123.58236	44.16757;-123.58236	sed, 	44.95	11.0	sedimentary rocks | cenozoic sedimentary rocks | 
60.73546	-139.23508	60.73546;-139.23508	sed, 	422.15	63.0	sedimentary rocks | paleozoic sedimentary rocks | 
51.75	-125.0975	51.75;-125.0975	plut, ign, 	83.25	17.0	intrusive igneous rocks | mesozoic intrusive rocks | 
-84.99878	-160.00245	-84.99878;-160.00245		NaN	NaN	na | na | na
-79.0	-80.0	-79;-80		NaN	NaN	na | na | na
-75.2536	-100.8701	-75.2536;-100.8701		NaN	NaN	na | na | na
61.16691	-145.33329	61.16691;-145.33329	sed, 	105.5	40.0	sedimentary rocks | mesozoic sedimentary rocks | 
-34.0	-70.2	-34;-70.2	volc, ign, 	173.15	28.0	volcanic rocks | mesozoic volcanic rocks | 
46.31966	7.22648	46.31966;7.22648	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
46.6646	8.37038	46.6646;8.37038	met, 	1492.7	1007.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
46.90655	9.1572	46.90655;9.1572	met, 	1492.7	1007.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
67.24603	-49.81962	67.24603;-49.81962		NaN	NaN	 | phanerozoic ice | 
-80.50029	-25.00024	-80.50029;-25.00024	met, 	512.0999999999999	27.0	crystalline metamorphic rocks | paleozoic crystalline metamorphic rocks | 
-82.41741	59.15345	-82.41741;59.15345		NaN	NaN	 | phanerozoic ice | 
72.11807	-76.80117	72.11807;-76.80117		NaN	NaN	 | phanerozoic ice | 
59.56226	-64.38593	59.56226;-64.38593	plut, ign, 	2050.0	450.0	intrusive igneous rocks | paleoproterozoic intrusive rocks | 
-47.48506	-73.41106	-47.48506;-73.41106	plut, ign, 	101.94000000000001	99.0	intrusive igneous rocks | mesozoic-cenozoic intrusive rocks | 
51.40887	-125.80937	51.40887;-125.80937	plut, ign, 	83.25	17.0	intrusive igneous rocks | mesozoic intrusive rocks | 
