Locality,Glacier,Region,Lat,Long,Present in Main?,Notes
"South Carpathian Mountains, Romania","unnamed: South Carpathian Mountains, Romania","South Carpathian Mountains, Romania",,,TRUE,
W. Greenland,Greenland ice sheet,Greenland,67.246026,-49.819624,TRUE,
Var River Catchement,unnamed: Var River Catchement,Southern Alps,44.04642,7.005572,TRUE,
Tsanfleuron,Tsanfleuron,Swiss Alps,46.319664,7.226476,TRUE,
France,,Southern French Alps,45.42881,6.807004,FALSE,
Eastern Sweden,Fennoscandian ice sheet,Sweden,63.749893,18.154398,TRUE,
Forsmark/Uppland,Fennoscandian ice sheet,Sweden,60.4266,18.186,TRUE,
"Karakoram, Kashmir Region",Batura Glacier,Karakoram mountains,36.564906,74.614401,TRUE,
"Taan Fjord, Icy Bay, Alaska",Tyndall Glacier,Alaska,60.1755,-141.157701,TRUE,
"Van Keulenfjorden, Svalbard","unnamed: Van Keulenfjorden, Svalbard",Svalbard,77.560083,15.484531,TRUE,
New Hampshire,Laurentide,New England,43.894524,-71.603108,TRUE,
Mont Blanc massif,Bossons Glacier,French Alps,45.866053,6.859297,TRUE,
Walensee Valley (Switzerland),unnamed: Walensee Valley (Switzerland),Switzerland,47.12263975,9.20298192,TRUE,
Central Alps,Herens Glacier,Swiss Alps ,46.02,7.5768,TRUE,
Central Alps,Venter Ache at Vent (Oetztal),Austrian Alps,46.8646,10.9789,TRUE,
"Front Range, Colorado",Arapaho Glacier,Colorado,40.024,-105.6479,TRUE,
McMurdo Sound–Dry Valleys (Southern Victoria Land),Antarctic Ice Sheet,Antarctica,-78.241632,162.5167,TRUE,
UK/Scotland,unnamed: UK/Scotland,United Kingdom,53.344304,-1.878177,TRUE,
Baffin Island,Barnes Ice Cap,North Central Baffin Island,69.996888,-73.515814,FALSE,Tenatively not in the compilation anymore
UK/Britain,unnamed: UK/Britain,United Kingdom,53.344304,-1.878177,TRUE,
,Imja-Lhotse-Shar Glacier,Himalayas,27.91432857,86.95457935,TRUE,
,Khumbu Glacier,Himalayas,27.97887017,86.83426258,TRUE,
,Ngzompa Glacier,Himalayas,27.98969485,86.69017139,TRUE,
,Milerapa Glacier,Himalayas,28.62910331,84.0350565,TRUE,
,G2 Glacier,Himalayas,35.75759598,76.61689772,TRUE,
,Satopanth Glacier,Himalayas,30.75030775,79.36068427,TRUE,
,Bara Shigri Glacier,Himalayas,32.16616503,77.68743651,TRUE,
,Hamtah Glacier,Himalayas,32.25,77.36,TRUE,
Congo craton,Marinoan ice sheet,Namibia,,,TRUE,
Nanhua basin,Sturtian ice sheet,China,,,TRUE,
Adelaidean Inlier/Arkaroola,Sturtian ice sheet,Australia,,,TRUE,
Utah,Sturtian ice sheet,USA,,,TRUE,
Duurwater trough,Marinoan ice sheet,Namibia,,,TRUE,
"Seacliff Sandstone, Adelaide Geosyncline",Marinoan ice sheet,Australia,,,TRUE,
South Australia,Marinoan ice sheet,Australia,,,TRUE,
Ellery Creek,Sturtian ice sheet,Australia,,,TRUE,
Oman,Sturtian ice sheet,Morocco,,,TRUE,
"Chuos Formation, N. Namibia",Sturtian ice sheet,Namibia,,,TRUE,
Mars,unnamed Martian glacier,,,,TRUE,
