Latitude	Longitude	Hash	Lithology	Age	Age Uncert	Unparsed Lithology
18.1265	-66.45778	18.1265;-66.45778	basalt, volc, ign, 	105.5	40.0	mafic volcanic rocks | mesozoic sedimentary and volcanic rocks | 
18.09988	-66.64287	18.09988;-66.64287	basalt, volc, ign, 	105.5	40.0	mafic volcanic rocks | mesozoic sedimentary and volcanic rocks | 
18.07917	-66.63361	18.07917;-66.63361	basalt, volc, ign, 	105.5	40.0	mafic volcanic rocks | mesozoic sedimentary and volcanic rocks | 
18.16009	-67.08576	18.16009;-67.08576	basalt, volc, ign, 	105.5	40.0	mafic volcanic rocks | mesozoic sedimentary and volcanic rocks | 
42.65085	-88.55093	42.65085;-88.55093	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
-2.95051	-78.89228	-2.95051;-78.89228	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.04036	-78.94828	-3.04036;-78.94828	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.94839	-78.92911	-2.94839;-78.92911	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.02078	-78.91458	-3.02078;-78.91458	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.00719	-78.92872	-3.00719;-78.92872	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.02953	-78.91519	-3.02953;-78.91519	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.02964	-78.91431	-3.02964;-78.91431	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.02275	-78.90892	-3.02275;-78.90892	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.95581	-78.92775	-2.95581;-78.92775	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.94144	-78.92731	-2.94144;-78.92731	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.95058	-78.92969	-2.95058;-78.92969	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.87036	-78.87956	-2.87036;-78.87956	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.86989	-78.87897	-2.86989;-78.87897	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.86872	-78.87539	-2.86872;-78.87539	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.87031	-78.87586	-2.87031;-78.87586	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.91675	-78.86967	-2.91675;-78.86967	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
