agemax	agemin	age	rocktype	rockname	rockdescrip	rockstratname	rockcomments	refstrings	Latitude	Longitude
66.0	23.03	44.515	intrusive igneous rocks	cenozoic intrusive rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	59.23856	-135.54039
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	61.48259	-149.26242
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	61.49026	-149.26987
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	58.01398	-133.75794
2.58	NaN	2.58	shield volcano(s); mafic volcanic rocks	cenozoic volcanic rocks			hawaiian chain	Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	19.72823	-155.0878
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-18.12539	178.52993
23.03	2.58	12.805	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	19.4167	-96.32229
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	20.67285	-105.28074
23.03	2.58	12.805	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	19.31045	-96.28496
5.333	NaN	5.333	sedimentary and volcanic rocks	cenozoic sedimentary and volcanic rocks			faja volcanica transmexicana	Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	17.94539	-102.13488
145.0	66.0	105.5	intrusive igneous rocks	mesozoic intrusive rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	18.68496	-103.7382
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	24.49365	-107.7322
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	15.56443	-93.29874
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	18.60045	-92.69287
23.03	2.58	12.805	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	19.10123	-96.10186
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	17.91172	-101.86227
145.0	66.0	105.5	crystalline metamorphic rocks	mesozoic crystalline metamorphic rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	16.55501	-98.81468
23.03	NaN	23.03	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	26.72993	-109.79381
5.333	NaN	5.333	sedimentary and volcanic rocks	cenozoic sedimentary and volcanic rocks			faja volcanica transmexicana	Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	19.89425	-96.49738
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	25.08453	-108.07011
66.0	NaN	66.0	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	22.25886	-97.7927
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	18.74853	-95.75049
33.9	5.333	19.6165	ignimbrite(s); felsic volcanic rocks	cenozoic volcanic rocks			sierra madre occidental	Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	23.70552	-106.81161
66.0	NaN	66.0	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	24.96669	-97.75395
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	24.24751	-107.41525
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	14.53209	-92.22735
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	16.19007	-95.1452
23.03	2.58	12.805	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	18.64871	-92.46794
145.0	66.0	105.5	crystalline metamorphic rocks	mesozoic crystalline metamorphic rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	15.98524	-97.7881
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	15.74353	-88.2697
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	13.25671	-88.82363
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	14.99817	-83.13858
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	12.05449	-83.73836
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	12.90977	-83.51334
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	13.41148	-83.56087
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	10.93994	-83.69843
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	8.96432	-83.62393
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	18.16823	-67.18091
NaN	538.8	538.8	crystalline metamorphic rocks	crystalline metamorphic rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	11.26222	-73.48514
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	8.20143	-76.92281
66.0	NaN	66.0	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	11.25799	-73.70388
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	7.93863	-76.75043
66.0	NaN	66.0	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	1.63935	-79.0045
66.0	NaN	66.0	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	8.64689	-76.73192
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	2.64496	-78.32098
66.0	NaN	66.0	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	11.55488	-72.90376
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	4.12222	-77.51572
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	9.44019	-75.94832
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	8.12209	-76.75585
