Country,Location,Station ID,Short-term erosion rate (mm kyr^-1),Basin area (km^2),Latitude,Longitude,Koppen¡VGeiger classification,Aridity Index,Aridity Index category,Reference
US,N BRANCH CHOPAWAMSIC CR NR INDEPENDENT HILL VA,1659000,14.15740087,14.73703172,38.565,-77.426111,Cf,0.8817,Humid,USGS
US,RAPPAHANNOCK RIVER AT REMINGTON VA,1664000,34.95607336,1603.202572,38.53068,-77.8136045,Cf,0.8868,Humid,USGS
US,RAPIDAN RIVER NEAR CULPEPER VA,1667500,34.9580816,1212.114384,38.350278,-77.975278,Cf,0.8989,Humid,USGS
US,CHICOD CR AT SR1760 NEAR SIMPSON NC,2084160,12.6169024,116.54946,35.5616738,-77.2308355,Cf,0.9775,Humid,USGS
US,SOUTH YADKIN RIVER NEAR MOCKSVILLE NC,2118000,50.39594573,792.536328,35.845,-80.658889,Cf,0.8902,Humid,USGS
US,THIRD CREEK NR STONY POINT NC,2119400,20.53045519,12.53554192,35.8679108,-81.0664681,Cf,0.9583,Humid,USGS
US,SHAVERS FORK ABOVE BOWDEN WV,3068600,21.87476945,357.418344,38.902778,-79.694722,Df,1.2309,Humid,USGS
US,TAYLOR RUN AT BOWDEN WV,3068610,16.89181381,13.10533928,38.9075,-79.696944,Df,1.1785,Humid,USGS
US,SHAVERS FORK BELOW BOWDEN WV,3068800,31.23467,391.088188,38.913056,-79.770556,Df,1.169,Humid,USGS
US,Stony Fork Tributary near Gibbon Glade PA,3070420,65.28740437,2.40868884,39.7642431,-79.5869879,Df,1.1284,Humid,USGS
US,Stony Fork near Elliottsville PA,3070455,51.62702436,19.26951072,39.768889,-79.609444,Df,1.1264,Humid,USGS
US,Wheeling Creek below Blaine OH,3111548,72.92093108,253.0418276,40.066944,-80.808611,Df,0.9485,Humid,USGS
US,Enlow Fork near West Finley PA,3111585,83.089255,98.6785428,39.968333,-80.448056,Df,0.9621,Humid,USGS
US,Killbuck Creek at Killbuck OH,3139000,38.87640974,1201.754432,40.481389,-81.986111,Df,0.912,Humid,USGS
