Reference	Reference DOI	Sample_ID	Location_ID	Basin_ID	Basin	Place	Region	Latitude	Longitude	Elevation	Season	Observation Type	Sample Type	filtersize_mum	Area (km2)	Time interval (yr)	Discharge_m3_s	Annual_Discharge_m3_s	TSS_mg_L	TSS_kg_s	TSS_km3_yr	Erosion rate (mm/yr)	Sand_perc	Silt_perc	Clay_perc
Rousseau et al., 2019		BRA-AMZ-111111-ROU10	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Autumn	single	SS	0.22	7000000	0.00273972602739726	80860	215000	15.6	3354	0.03917472	0.00559638857142857			
Rousseau et al., 2019		BRA-AMZ-111111-ROU11	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Winter	single	SS	0.22	7000000	0.00273972602739726	90490	215000	115.3	24789.5	0.28954136	0.0413630514285714			
Rousseau et al., 2019		BRA-AMZ-111111-ROU12	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Winter	single	SS	0.22	7000000	0.00273972602739726	133600	215000	159.7	34335.5	0.40103864	0.0572912342857143			
Rousseau et al., 2019		BRA-AMZ-111111-ROU2	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Spring	single	SS	0.22	7000000	0.00273972602739726	231000	215000	69.8	15007	0.17528176	0.0250402514285714			
Rousseau et al., 2019		BRA-AMZ-111111-ROU3	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Spring	single	SS	0.22	7000000	0.00273972602739726	240200	215000	9.3	1999.5	0.02335416	0.00333630857142857			
Rousseau et al., 2019		BRA-AMZ-111111-ROU4	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Spring	single	SS	0.22	7000000	0.00273972602739726	247600	215000	21.8	4687	0.05474416	0.00782059428571429			
Rousseau et al., 2019		BRA-AMZ-111111-ROU5	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Summer	single	SS	0.22	7000000	0.00273972602739726	254500	215000	10.9	2343.5	0.02737208	0.00391029714285714			
Rousseau et al., 2019		BRA-AMZ-111111-ROU6	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Summer	single	SS	0.22	7000000	0.00273972602739726	258300	215000	8	1720	0.0200896	0.00286994285714286			
Rousseau et al., 2019		BRA-AMZ-111111-ROU7	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Summer	single	SS	0.22	7000000	0.00273972602739726	231200	215000	29.3	6299.5	0.07357816	0.0105111657142857			
Rousseau et al., 2019		BRA-AMZ-111111-ROU8	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Autumn	single	SS	0.22	7000000	0.00273972602739726	157100	215000	10.4	2236	0.02611648	0.00373092571428571			
